player_id: 6738, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6739, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6740, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6741, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6742, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6743, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6744, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6745, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6746, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6747, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6748, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6749, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6750, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6751, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6752, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6753, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6754, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6755, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6756, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6757, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6758, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6759, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6760, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6761, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6762, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6763, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6764, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6765, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6766, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6767, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6768, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6769, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6770, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6771, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6772, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6773, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6774, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6775, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6776, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6777, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6778, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6779, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6780, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6781, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6782, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6783, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6784, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6785, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6786, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6787, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6788, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6789, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6790, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6791, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6792, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6793, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6794, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6795, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6796, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6797, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6798, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6799, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6800, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6801, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6802, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6803, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6804, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6805, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6806, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6807, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6808, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6809, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6810, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6811, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6812, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6813, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6814, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6815, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6816, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6817, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6818, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6819, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6820, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6821, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6822, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6823, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6824, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6825, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6826, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
player_id: 6827, exception: 'NoneType' object has no attribute 'find_all', request_status: 404
